Order_ID,Order_Date,Customer_ID,Customer_Name,Customer_Segment,Region,City,State,Product_Name,Category,Sub category,Price,Sales,Quantity,Discount %,Profit,Sales_Channel,Payment_Mode
ORD-100000,19-06-2024,CUST-1471,Ravi Kumar,Corporate,North,Kolkata,Maharashtra,USB Cable,Furniture,Tables,1511.58,731.027082900257,2,15,-335.9,Offline,UPI
ORD-100001,15-05-2023,CUST-1410,Ravi Kumar,consumer ,North,Mumbai,Tamil Nadu,Office Chair,Technology,Storage,859.07,2077.3061583482704,10,15,1995.94,Online,UPI
ORD-100002,17-11-2023,CUST-1905,Amit Sharma,consumer ,South,Kolkata,West Bengal,iPhone,Office Supplies,Storage,1541.48,2236.458858295948,6,15,1575.95,Offline,Debit Card
ORD-100003,23-01-2023,CUST-1033,Neha Singh,Home Office,West,Kolkata,West Bengal,iPhone,Office Supplies,Tables,3408.07,3878.119882818362,4, ,2664.24,Online,Credit Card
ORD-100004,26-02-2023,CUST-1726,Ravi Kumar,CORPORATE, north,Chennai,Delhi,iPhone,Technology,Binders,1843.18,3670.4433183071383,7,,2398.5,Online,Debit Card
ORD-100005,14-07-2024,CUST-1944,Amit Sharma,consumer ,South,Chennai,West Bengal,iPhone,Technology,Chairs,1377.36,2977.926381071225,8,5,-750.16,Offline,Debit Card
ORD-100006,17-09-2023,CUST-1727,Amit Sharma,Consumer,North,Bengaluru,Tamil Nadu,Dining Table,Technology,Phones,2728.46,1319.5293598772203,2,15,-872.95,Offline,upi
ORD-100007,24-12-2023,CUST-1578,Ravi Kumar,CORPORATE,West,Chennai,Tamil Nadu,Office Chair,Furniture,Chairs,2245.87,2875.078091479512,5,10,81.19,Offline,Cash
ORD-100008,02-02-2023,CUST-1981,Amit Sharma,Corporate,West,Kolkata,Karnataka,iPhone,Technology,Tables,4988.57,170298.1966670097,6,0,4762.1,Online,UPI
ORD-100009,02-03-2023,CUST-1717,Ravi Kumar,consumer , north,Bengaluru,Karnataka,Office Chair,Furniture,Tables,1566.6,3208.8051874409393,8,10,1132.58,Online,Debit Card
ORD-100010,30-10-2023,CUST-1254,Ravi Kumar,CORPORATE,South,Kolkata,Tamil Nadu,Office Chair,Office Supplies,Chairs,4967.15,1413.058063357063,1,,399.16,Offline,UPI
ORD-100011,10-02-2023,CUST-1256,Amit Sharma,Consumer, north,Kolkata,Tamil Nadu,Ring Binder,Office Supplies,Phones,1738.24,445.04721932638574,1,10,31.82,online ,Cash
ORD-100012,16-12-2023,CUST-1124,Neha Singh,Home Office,East,Bengaluru,West Bengal,Office Chair,Furniture,Chairs,3558.48,1923.404971209662,2,5,1997.82,online ,Debit Card
ORD-100013,12-04-2024,CUST-1052,  Pooja Verma,Consumer,South,Chennai,Delhi,iPhone,Furniture,Tables,4476.44,6048.937675807442,5,5,5035.76,Online,Credit Card
ORD-100014,09-05-2024,CUST-1740,Ravi Kumar,CORPORATE, north,Mumbai,Karnataka,Dining Table,Furniture,Phones,4986.06,14184.375924588785,10, ,-5000.17,online ,UPI
